ID	ELEMENT SYMBOL	ENERGY	INTENSITY	ISOTOPE ABUNDANCE
110230010015	Na	820.520	3.208e-04	1.000e+00
110230010016	Na	835.292	2.057e-02	1.000e+00
110230010017	Na	852.480	8.679e-04	1.000e+00
110230010018	Na	858.430	7.547e-04	1.000e+00
110230010019	Na	858.660	1.321e-03	1.000e+00
110230010020	Na	863.380	5.283e-04	1.000e+00
110230010021	Na	869.210	2.038e-01	1.000e+00
110230010022	Na	874.389	1.434e-01	1.000e+00
110230010023	Na	886.749	7.585e-03	1.000e+00
110230010024	Na	906.100	6.604e-04	1.000e+00
110230010025	Na	1005.924	4.283e-03	1.000e+00
110230010026	Na	1006.230	6.981e-03	1.000e+00
110230010027	Na	1028.300	9.057e-04	1.000e+00
110230010028	Na	1034.350	1.132e-04	1.000e+00
110230010029	Na	1041.245	2.887e-03	1.000e+00
110230010030	Na	1092.260	2.925e-03	1.000e+00
110230010031	Na	1095.150	1.868e-03	1.000e+00
110230010032	Na	1096.570	3.774e-04	1.000e+00
110230010033	Na	1150.002	9.962e-03	1.000e+00
110230010034	Na	1208.280	3.774e-04	1.000e+00
110230010035	Na	1217.690	2.547e-03	1.000e+00
110230010036	Na	1218.430	1.887e-04	1.000e+00
110230010037	Na	1229.330	2.849e-03	1.000e+00
110230010038	Na	1247.495	2.321e-03	1.000e+00
110230010039	Na	1282.764	1.038e-02	1.000e+00
110230010040	Na	1314.470	6.415e-04	1.000e+00
110230010041	Na	1322.262	1.170e-02	1.000e+00
110230010042	Na	1337.730	5.906e-03	1.000e+00
110230010043	Na	1344.607	4.094e-02	1.000e+00
110230010044	Na	1373.751	1.491e-02	1.000e+00
110230010045	Na	1455.620	3.396e-04	1.000e+00
110230010046	Na	1480.470	3.226e-03	1.000e+00
110230010047	Na	1486.294	2.340e-03	1.000e+00
110230010048	Na	1488.620	2.075e-04	1.000e+00
110230010049	Na	1504.920	5.528e-03	1.000e+00
110230010050	Na	1559.380	2.981e-03	1.000e+00
110230010051	Na	1562.470	4.830e-03	1.000e+00
110230010052	Na	1567.250	1.434e-03	1.000e+00
110230010053	Na	1570.210	1.321e-04	1.000e+00
110230010054	Na	1584.190	4.528e-04	1.000e+00
110230010055	Na	1620.490	5.547e-03	1.000e+00
110230010056	Na	1631.700	1.868e-03	1.000e+00
110230010057	Na	1633.080	1.396e-02	1.000e+00
110230010058	Na	1636.293	4.717e-02	1.000e+00
110230010059	Na	1693.690	1.189e-03	1.000e+00
110230010060	Na	1712.430	2.113e-02	1.000e+00
110230010061	Na	1741.090	1.113e-03	1.000e+00
110230010062	Na	1743.330	6.792e-04	1.000e+00
110230010063	Na	1767.140	5.283e-04	1.000e+00
110230010064	Na	1770.340	6.604e-04	1.000e+00
110230010065	Na	1773.230	2.000e-03	1.000e+00
110230010066	Na	1832.060	1.792e-03	1.000e+00
110230010067	Na	1842.210	4.340e-03	1.000e+00
110230010068	Na	1846.920	9.811e-04	1.000e+00
110230010069	Na	1859.560	4.340e-04	1.000e+00
110230010070	Na	1876.490	2.830e-04	1.000e+00
110230010071	Na	1885.421	7.358e-03	1.000e+00
110230010072	Na	1899.060	1.528e-02	1.000e+00
110230010073	Na	1899.860	6.792e-03	1.000e+00
110230010074	Na	1914.440	1.143e-02	1.000e+00
110230010075	Na	1928.160	9.057e-03	1.000e+00
110230010076	Na	1928.370	1.038e-02	1.000e+00
110230010077	Na	1950.112	1.642e-02	1.000e+00
110230010078	Na	2009.780	1.755e-03	1.000e+00
110230010079	Na	2017.540	7.736e-04	1.000e+00
110230010080	Na	2019.500	4.717e-03	1.000e+00
110230010081	Na	2025.139	6.434e-02	1.000e+00
110230010082	Na	2027.104	7.170e-03	1.000e+00
110230010083	Na	2030.318	4.132e-02	1.000e+00
110230010084	Na	2060.700	7.170e-04	1.000e+00
110230010085	Na	2066.600	2.264e-03	1.000e+00
110230010086	Na	2071.780	1.113e-02	1.000e+00
110230010087	Na	2107.130	2.075e-04	1.000e+00
110230010088	Na	2117.760	1.887e-04	1.000e+00
110230010089	Na	2131.320	4.528e-04	1.000e+00
110230010090	Na	2208.400	4.887e-02	1.000e+00
110230010091	Na	2220.050	1.755e-03	1.000e+00
110230010092	Na	2237.580	1.849e-03	1.000e+00
110230010093	Na	2242.670	1.057e-03	1.000e+00
110230010094	Na	2247.850	1.075e-03	1.000e+00
110230010095	Na	2269.190	4.906e-04	1.000e+00
110230010096	Na	2270.070	3.019e-04	1.000e+00
110230010097	Na	2271.200	6.604e-04	1.000e+00
110230010098	Na	2286.650	1.528e-03	1.000e+00
110230010099	Na	2301.200	4.717e-04	1.000e+00
